hub_a,hub_b,kind,similarity,slug_a,slug_b,title,title_a,title_b
comparisons.csv,comparisons.csv,exact,1.000,s31-stress-kumiai,s33-stress-kaizen,ストレス要因分析と組織改善,,
comparisons.csv,comparisons.csv,similar,0.923,s35-stress-cmp,s35-stress-taihi,,ストレスの比較（基礎整理）,ストレスの対比（基礎整理）
comparisons.csv,numbers.csv,similar,0.923,s35-stress-cmp,s35-stress-ratio,,ストレスの比較（基礎整理）,ストレスの比率（基礎整理）
comparisons.csv,numbers.csv,similar,0.923,s35-stress-taihi,s35-stress-ratio,,ストレスの対比（基礎整理）,ストレスの比率（基礎整理）
comparisons.csv,numbers.csv,similar,0.933,s35-harass-seido,s35-harass-freq,,ハラスメントの制度（基礎整理）,ハラスメントの頻度（基礎整理）
comparisons.csv,comparisons.csv,similar,0.909,s36-mensetsu-cmp,s36-mensetsu-taihi,,面接の比較（実務連動）,面接の対比（実務連動）
comparisons.csv,comparisons.csv,similar,0.880,s36-mensetsu-cmp,s41-sangyoui-mensetsu-cmp,,面接の比較（実務連動）,産業医面接の比較（実務連動）
comparisons.csv,numbers.csv,similar,0.909,s36-mensetsu-cmp,s36-mensetsu-ratio,,面接の比較（実務連動）,面接の比率（実務連動）
comparisons.csv,comparisons.csv,similar,0.880,s36-mensetsu-matome,s41-sangyoui-mensetsu-matome,,面接の整理（実務連動）,産業医面接の整理（実務連動）
comparisons.csv,comparisons.csv,similar,0.880,s36-mensetsu-taihi,s41-sangyoui-mensetsu-taihi,,面接の対比（実務連動）,産業医面接の対比（実務連動）
comparisons.csv,numbers.csv,similar,0.909,s36-mensetsu-taihi,s36-mensetsu-ratio,,面接の対比（実務連動）,面接の比率（実務連動）
comparisons.csv,comparisons.csv,similar,0.880,s36-mensetsu-tejun,s41-sangyoui-mensetsu-tejun,,面接の手順（実務連動）,産業医面接の手順（実務連動）
comparisons.csv,numbers.csv,similar,0.917,s36-sangyoui-seido,s36-sangyoui-freq,,産業医の制度（実務連動）,産業医の頻度（実務連動）
comparisons.csv,comparisons.csv,similar,0.880,s36-mensetsu-unyo,s41-sangyoui-mensetsu-unyo,,面接の運用（実務連動）,産業医面接の運用（実務連動）
comparisons.csv,comparisons.csv,similar,0.909,s37-fukki-cmp,s37-fukki-taihi,,復職の比較（試験頻出）,復職の対比（試験頻出）
comparisons.csv,numbers.csv,similar,0.909,s37-fukki-cmp,s37-fukki-ratio,,復職の比較（試験頻出）,復職の比率（試験頻出）
comparisons.csv,numbers.csv,similar,0.909,s37-fukki-taihi,s37-fukki-ratio,,復職の対比（試験頻出）,復職の比率（試験頻出）
comparisons.csv,numbers.csv,similar,0.909,s37-kyushoku-seido,s37-kyushoku-freq,,休職の制度（試験頻出）,休職の頻度（試験頻出）
comparisons.csv,comparisons.csv,similar,0.938,s38-linecare-cmp,s38-linecare-taihi,,ラインケアの比較（判例・ガイド）,ラインケアの対比（判例・ガイド）
comparisons.csv,comparisons.csv,similar,0.941,s38-linecare-cmp,s43-linecare-kyoka-cmp,,ラインケアの比較（判例・ガイド）,ラインケア強化の比較（判例・ガイド）
